model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m53_L1_U128_B128_lr0.1_m0.92_d0.985_s4_T2,2,1,"128",128,0.1,0.92,0.985,4,60,20.0,97.20,95.04,runs/grid_20250929-061848/models/m53_L1_U128_B128_lr0.1_m0.92_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m53_L1_U128_B128_lr0.1_m0.92_d0.985_s4_T2.train.log
m54_L1_U128_B128_lr0.1_m0.92_d0.99_s4_T2,2,1,"128",128,0.1,0.92,0.99,4,60,19.9,97.20,95.07,runs/grid_20250929-061848/models/m54_L1_U128_B128_lr0.1_m0.92_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m54_L1_U128_B128_lr0.1_m0.92_d0.99_s4_T2.train.log
m55_L1_U128_B128_lr0.1_m0.93_d0.98_s4_T2,2,1,"128",128,0.1,0.93,0.98,4,60,20.3,97.30,95.28,runs/grid_20250929-061848/models/m55_L1_U128_B128_lr0.1_m0.93_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m55_L1_U128_B128_lr0.1_m0.93_d0.98_s4_T2.train.log
m56_L1_U128_B128_lr0.1_m0.93_d0.985_s4_T2,2,1,"128",128,0.1,0.93,0.985,4,60,20.2,97.30,95.24,runs/grid_20250929-061848/models/m56_L1_U128_B128_lr0.1_m0.93_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m56_L1_U128_B128_lr0.1_m0.93_d0.985_s4_T2.train.log
m57_L1_U128_B128_lr0.1_m0.93_d0.99_s4_T2,2,1,"128",128,0.1,0.93,0.99,4,60,19.9,97.20,95.09,runs/grid_20250929-061848/models/m57_L1_U128_B128_lr0.1_m0.93_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m57_L1_U128_B128_lr0.1_m0.93_d0.99_s4_T2.train.log
m58_L1_U128_B128_lr0.1_m0.94_d0.98_s4_T2,2,1,"128",128,0.1,0.94,0.98,4,60,20.5,96.80,95.41,runs/grid_20250929-061848/models/m58_L1_U128_B128_lr0.1_m0.94_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m58_L1_U128_B128_lr0.1_m0.94_d0.98_s4_T2.train.log
m59_L1_U128_B128_lr0.1_m0.94_d0.985_s4_T2,2,1,"128",128,0.1,0.94,0.985,4,60,16.8,96.60,94.93,runs/grid_20250929-061848/models/m59_L1_U128_B128_lr0.1_m0.94_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m59_L1_U128_B128_lr0.1_m0.94_d0.985_s4_T2.train.log
m60_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T2,2,1,"128",128,0.1,0.94,0.99,4,60,19.2,96.90,95.28,runs/grid_20250929-061848/models/m60_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m60_L1_U128_B128_lr0.1_m0.94_d0.99_s4_T2.train.log
m61_L1_U128_B256_lr0.1_m0.9_d0.98_s4_T2,2,1,"128",256,0.1,0.9,0.98,4,60,22.6,96.10,94.74,runs/grid_20250929-061848/models/m61_L1_U128_B256_lr0.1_m0.9_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m61_L1_U128_B256_lr0.1_m0.9_d0.98_s4_T2.train.log
m62_L1_U128_B256_lr0.1_m0.9_d0.985_s4_T2,2,1,"128",256,0.1,0.9,0.985,4,60,20.8,96.20,94.75,runs/grid_20250929-061848/models/m62_L1_U128_B256_lr0.1_m0.9_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m62_L1_U128_B256_lr0.1_m0.9_d0.985_s4_T2.train.log
m63_L1_U128_B256_lr0.1_m0.9_d0.99_s4_T2,2,1,"128",256,0.1,0.9,0.99,4,60,20.8,96.20,94.74,runs/grid_20250929-061848/models/m63_L1_U128_B256_lr0.1_m0.9_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m63_L1_U128_B256_lr0.1_m0.9_d0.99_s4_T2.train.log
m64_L1_U128_B256_lr0.1_m0.91_d0.98_s4_T2,2,1,"128",256,0.1,0.91,0.98,4,60,20.6,96.20,94.77,runs/grid_20250929-061848/models/m64_L1_U128_B256_lr0.1_m0.91_d0.98_s4_T2.bin,runs/grid_20250929-061848/logs/m64_L1_U128_B256_lr0.1_m0.91_d0.98_s4_T2.train.log
m65_L1_U128_B256_lr0.1_m0.91_d0.985_s4_T2,2,1,"128",256,0.1,0.91,0.985,4,60,20.7,96.20,94.77,runs/grid_20250929-061848/models/m65_L1_U128_B256_lr0.1_m0.91_d0.985_s4_T2.bin,runs/grid_20250929-061848/logs/m65_L1_U128_B256_lr0.1_m0.91_d0.985_s4_T2.train.log
m66_L1_U128_B256_lr0.1_m0.91_d0.99_s4_T2,2,1,"128",256,0.1,0.91,0.99,4,60,20.7,96.00,94.79,runs/grid_20250929-061848/models/m66_L1_U128_B256_lr0.1_m0.91_d0.99_s4_T2.bin,runs/grid_20250929-061848/logs/m66_L1_U128_B256_lr0.1_m0.91_d0.99_s4_T2.train.log
