model_key,threads,layers,units,batch,lr,momentum,decay,step,epochs,train_time_s,best_val_pct,test_acc_pct,model_path,log_path
m48_L1_U64_B128_lr0.1_m0.0_d0.99_s4_T8,8,1,"64",128,0.1,0.0,0.99,4,60,10.6,95.10,93.29,runs/grid_20250929-142217/models/m48_L1_U64_B128_lr0.1_m0.0_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m48_L1_U64_B128_lr0.1_m0.0_d0.99_s4_T8.train.log
m49_L1_U64_B128_lr0.1_m0.9_d0.9_s4_T8,8,1,"64",128,0.1,0.9,0.9,4,60,5.0,96.20,94.96,runs/grid_20250929-142217/models/m49_L1_U64_B128_lr0.1_m0.9_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m49_L1_U64_B128_lr0.1_m0.9_d0.9_s4_T8.train.log
m50_L1_U64_B128_lr0.1_m0.9_d0.95_s4_T8,8,1,"64",128,0.1,0.9,0.95,4,60,5.9,96.30,95.02,runs/grid_20250929-142217/models/m50_L1_U64_B128_lr0.1_m0.9_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m50_L1_U64_B128_lr0.1_m0.9_d0.95_s4_T8.train.log
m51_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8,8,1,"64",128,0.1,0.9,0.99,4,60,4.9,96.10,95.06,runs/grid_20250929-142217/models/m51_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m51_L1_U64_B128_lr0.1_m0.9_d0.99_s4_T8.train.log
m52_L1_U64_B128_lr0.1_m0.92_d0.9_s4_T8,8,1,"64",128,0.1,0.92,0.9,4,60,3.2,96.10,94.24,runs/grid_20250929-142217/models/m52_L1_U64_B128_lr0.1_m0.92_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m52_L1_U64_B128_lr0.1_m0.92_d0.9_s4_T8.train.log
m53_L1_U64_B128_lr0.1_m0.92_d0.95_s4_T8,8,1,"64",128,0.1,0.92,0.95,4,60,3.1,96.00,94.29,runs/grid_20250929-142217/models/m53_L1_U64_B128_lr0.1_m0.92_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m53_L1_U64_B128_lr0.1_m0.92_d0.95_s4_T8.train.log
m54_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T8,8,1,"64",128,0.1,0.92,0.99,4,60,3.2,96.00,94.34,runs/grid_20250929-142217/models/m54_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m54_L1_U64_B128_lr0.1_m0.92_d0.99_s4_T8.train.log
m55_L1_U64_B128_lr0.1_m0.94_d0.9_s4_T8,8,1,"64",128,0.1,0.94,0.9,4,60,3.2,96.10,93.94,runs/grid_20250929-142217/models/m55_L1_U64_B128_lr0.1_m0.94_d0.9_s4_T8.bin,runs/grid_20250929-142217/logs/m55_L1_U64_B128_lr0.1_m0.94_d0.9_s4_T8.train.log
m56_L1_U64_B128_lr0.1_m0.94_d0.95_s4_T8,8,1,"64",128,0.1,0.94,0.95,4,60,5.0,96.10,94.87,runs/grid_20250929-142217/models/m56_L1_U64_B128_lr0.1_m0.94_d0.95_s4_T8.bin,runs/grid_20250929-142217/logs/m56_L1_U64_B128_lr0.1_m0.94_d0.95_s4_T8.train.log
m57_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8,8,1,"64",128,0.1,0.94,0.99,4,60,3.2,96.40,94.26,runs/grid_20250929-142217/models/m57_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8.bin,runs/grid_20250929-142217/logs/m57_L1_U64_B128_lr0.1_m0.94_d0.99_s4_T8.train.log
